Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.2,30,809,2.5,0,0,0
0.05,10,5.5,0.0397,-0.437,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.222,-0.4,3.2,30,809,2.5,0,0,0
0.1,10,5.5,0.0385,-0.747,0,0,0,0.5,24.7,89.9,21.1,0.0189,0.354,-0.4,3.2,30,809,2.5,0,0,0
0.15,10,5.5,0.0484,-0.899,0,0,0,0.5,24.6,89.9,21.1,0.102,0.427,-0.4,3.2,30,809,2.5,0,0,0
0.2,10,5.6,0.0689,-0.905,0,0,0,0.5,24.5,89.9,21.1,0.24,0.446,-0.4,3.2,30,809,2.5,0,0,0
0.25,10,5.6,0.0932,-0.845,0,0,0,0.5,24.5,89.8,21.1,0.402,0.439,-0.4,3.2,30,809,2.5,0,0,0
0.3,10,5.7,0.123,-0.727,0,0,0,0.5,24.4,89.8,21.1,0.587,0.412,-0.4,3.2,30,809,2.5,0,0,0
0.35,10,5.9,0.155,-0.578,0,0,0,0.5,24.4,89.7,21.1,0.757,0.372,-0.4,3.2,30,809,2.5,0,0,0
0.4,10,6.0,0.184,-0.422,0,0,0,0.5,24.3,89.7,21.1,0.879,0.326,-0.4,3.2,30,809,2.5,0,0,0
0.45,10,6.0,0.21,-0.259,0,0,0,0.5,24.3,89.6,21.1,0.941,0.276,-0.4,3.2,30,809,2.5,0,0,0
0.5,10,6.1,0.234,-0.164,0,0,0,0.5,24.2,89.6,21.1,0.96,0.252,-0.4,3.2,30,809,2.5,0,0,0
0.55,10,6.2,0.257,-0.145,0,0,0,0.5,24.2,89.5,21.1,0.943,0.259,-0.4,3.2,30,809,2.5,0,0,0
0.6,10,6.3,0.279,-0.2,0,0,0,0.5,24.2,89.5,21.1,0.905,0.298,-0.4,3.2,30,809,2.5,0,0,0
0.65,10,6.5,0.301,-0.306,0,0,0,0.5,24.2,89.5,21.1,0.857,0.356,-0.4,3.2,30,809,2.5,0,0,0
0.7,10,6.6,0.325,-0.373,0,0,0,0.5,24.2,89.4,21.1,0.812,0.401,-0.4,3.2,30,809,2.5,0,0,0
0.75,10,6.7,0.349,-0.405,0,0,0,0.5,24.2,89.4,21.1,0.758,0.43,-0.4,3.2,30,809,2.5,0,0,0
0.8,10,6.8,0.371,-0.447,0,0,0,0.5,24.3,89.4,21.1,0.675,0.461,-0.4,3.2,30,809,2.5,0,0,0
0.85,10,6.9,0.389,-0.582,0,0,0,0.5,24.3,89.3,21.1,0.552,0.53,-0.4,3.2,30,809,2.5,0,0,0
0.9,10,7.0,0.416,-0.732,0,0,0,0.5,24.4,89.3,21.1,0.404,0.612,-0.4,3.2,30,809,2.5,0,0,0
0.95,10,7.1,0.452,-0.896,0,0,0,0.5,24.4,89.2,21.1,0.233,0.71,-0.4,3.2,30,809,2.5,0,0,0
1.0,10,7.1,0.501,-1.11,0,0,0,0.5,24.5,89.1,21.1,0.0543,0.837,-0.4,3.2,30,809,2.5,0,0,0
1.05,10,7.2,0.569,-1.27,0,0,0,0.5,24.5,89.0,21.1,-0.102,0.958,-0.4,3.2,30,809,2.5,0,0,0
1.1,10,7.2,0.654,-1.29,0,0,0,0.5,24.5,88.9,21.1,-0.231,1.03,-0.4,3.2,30,809,2.5,0,0,0
1.15,10,7.2,0.751,-1.21,0,0,0,0.5,24.5,88.7,21.1,-0.353,1.07,-0.4,3.2,30,809,2.5,0,0,0
1.2,10,7.3,0.852,-1.04,0,0,0,0.5,24.4,88.5,21.1,-0.478,1.07,-0.4,3.2,30,809,2.5,0,0,0
1.25,10,7.3,0.947,-0.811,0,0,0,0.5,24.4,88.4,21.1,-0.624,1.04,-0.4,3.2,30,809,2.5,0,0,0
1.3,10,7.4,1.03,-0.573,0,0,0,0.5,24.5,88.2,21.1,-0.806,0.994,-0.4,3.2,30,809,2.5,0,0,0
1.35,10,7.5,1.09,-0.367,0,0,0,0.5,24.5,88.2,21.1,-1.01,0.945,-0.4,3.2,30,809,2.5,0,0,0
1.4,10,7.7,1.14,-0.265,0,0,0,0.5,24.5,88.1,21.1,-1.23,0.931,-0.4,3.2,30,809,2.5,0,0,0
1.45,10,7.8,1.18,-0.244,0,0,0,0.5,24.6,88.0,21.1,-1.44,0.943,-0.4,3.2,30,809,2.5,0,0,0
1.5,10,7.9,1.22,-0.327,0,0,0,0.5,24.6,88.0,21.1,-1.64,0.993,-0.4,3.2,30,809,2.5,0,0,0
1.55,10,7.9,1.25,-0.487,0,0,0,0.5,24.7,88.0,21.1,-1.83,1.07,-0.4,3.2,30,809,2.5,0,0,0
1.6,10,8.0,1.28,-0.628,0,0,0,0.5,24.7,88.0,21.1,-2.0,1.15,-0.4,3.2,30,809,2.5,0,0,0
1.65,10,8.0,1.31,-0.664,0,0,0,0.5,24.8,87.9,21.1,-2.16,1.18,-0.4,3.2,30,809,2.5,0,0,0
1.7,10,8.0,1.35,-0.668,0,0,0,0.5,24.8,87.9,21.1,-2.29,1.2,-0.4,3.2,30,809,2.5,0,0,0
1.75,10,8.0,1.4,-0.703,0,0,0,0.5,24.8,87.8,21.1,-2.38,1.24,-0.4,3.2,30,809,2.5,0,0,0
1.8,10,7.9,1.46,-0.703,0,0,0,0.5,24.8,87.8,21.1,-2.4,1.27,-0.4,3.2,30,809,2.5,0,0,0
1.85,10,7.9,1.53,-0.662,0,0,0,0.5,24.8,87.7,21.1,-2.39,1.3,-0.4,3.2,30,809,2.5,0,0,0
1.9,10,7.9,1.6,-0.645,0,0,0,0.5,24.8,87.6,21.1,-2.38,1.33,-0.4,3.2,30,809,2.5,0,0,0
1.95,10,8.0,1.67,-0.706,0,0,0,0.5,24.8,87.5,21.1,-2.35,1.39,-0.4,3.2,30,809,2.5,0,0,0
2.0,10,8.0,1.74,-0.75,0,0,0,0.5,24.8,87.4,21.1,-2.29,1.45,-0.4,3.2,30,809,2.5,0,0,0
2.05,10,8.1,1.8,-0.726,0,0,0,0.5,24.8,87.3,21.1,-2.2,1.47,-0.4,3.2,30,809,2.5,0,0,0
2.1,10,8.2,1.85,-0.747,0,0,0,0.5,24.8,87.3,21.1,-2.11,1.5,-0.4,3.2,30,809,2.5,0,0,0
2.15,10,8.2,1.89,-0.831,0,0,0,0.5,24.8,87.3,21.1,-2.01,1.54,-0.4,3.2,30,809,2.5,0,0,0
2.2,10,8.3,1.93,-0.906,0,0,0,0.5,24.8,87.2,21.1,-1.93,1.58,-0.4,3.2,30,809,2.5,0,0,0
2.25,10,8.4,1.96,-1.04,0,0,0,0.5,24.8,87.2,21.1,-1.88,1.64,-0.4,3.2,30,809,2.5,0,0,0
2.3,10,8.5,1.99,-1.21,0,0,0,0.5,24.8,87.2,21.1,-1.82,1.72,-0.4,3.2,30,809,2.5,0,0,0
2.35,10,8.6,2.03,-1.32,0,0,0,0.5,24.7,87.2,21.1,-1.72,1.77,-0.4,3.2,30,809,2.5,0,0,0
2.4,10,8.6,2.07,-1.29,0,0,0,0.5,24.7,87.2,21.1,-1.57,1.77,-0.4,3.2,30,809,2.5,0,0,0
2.45,10,8.7,2.12,-1.15,0,0,0,0.5,24.6,87.1,21.1,-1.41,1.72,-0.4,3.2,30,809,2.5,0,0,0
2.5,10,8.9,2.16,-1.02,0,0,0,0.5,24.5,87.1,21.1,-1.25,1.67,-0.4,3.2,30,809,2.5,0,0,0
2.55,10,9.0,2.21,-0.882,0,0,0,0.5,24.5,87.1,21.1,-1.09,1.62,-0.4,3.2,30,809,2.5,0,0,0
2.6,10,9.2,2.25,-0.723,0,0,0,0.5,24.4,87.1,21.1,-0.938,1.56,-0.4,3.2,30,809,2.5,0,0,0
2.65,10,9.4,2.28,-0.579,0,0,0,0.5,24.4,87.0,21.1,-0.795,1.5,-0.4,3.2,30,809,2.5,0,0,0
2.7,10,9.5,2.3,-0.415,0,0,0,0.5,24.3,87.1,21.1,-0.656,1.42,-0.4,3.2,30,809,2.5,0,0,0
