script,Boat.CrewXPos,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.TWS_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
modified_Script1.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,896,0.5,0,0,0
modified_Script10.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,896,0.5,0,0,0
modified_Script100.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,892,0.5,0,0,0
modified_Script101.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,892,1.5,0,0,0
modified_Script102.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,892,2.5,0,0,0
modified_Script103.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,892,0.5,0,0,0
modified_Script104.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,892,1.5,0,0,0
modified_Script105.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,892,2.5,0,0,0
modified_Script106.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,892,0.5,0,0,0
modified_Script107.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,892,1.5,0,0,0
modified_Script108.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,892,2.5,0,0,0
modified_Script109.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,892,0.5,0,0,0
modified_Script11.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,896,1.5,0,0,0
modified_Script110.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,892,1.5,0,0,0
modified_Script111.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,892,2.5,0,0,0
modified_Script112.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,892,0.5,0,0,0
modified_Script113.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,892,1.5,0,0,0
modified_Script114.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,892,2.5,0,0,0
modified_Script115.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,892,0.5,0,0,0
modified_Script116.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,892,1.5,0,0,0
modified_Script117.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,892,2.5,0,0,0
modified_Script118.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,892,0.5,0,0,0
modified_Script119.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,892,1.5,0,0,0
modified_Script12.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,896,2.5,0,0,0
modified_Script120.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,892,2.5,0,0,0
modified_Script121.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,876,0.5,0,0,0
modified_Script122.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,876,1.5,0,0,0
modified_Script123.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,876,2.5,0,0,0
modified_Script124.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,876,0.5,0,0,0
modified_Script125.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,876,1.5,0,0,0
modified_Script126.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,876,2.5,0,0,0
modified_Script127.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,876,0.5,0,0,0
modified_Script128.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,876,1.5,0,0,0
modified_Script129.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,876,2.5,0,0,0
modified_Script13.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,896,0.5,0,0,0
modified_Script130.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,876,0.5,0,0,0
modified_Script131.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,876,1.5,0,0,0
modified_Script132.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,876,2.5,0,0,0
modified_Script133.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,876,0.5,0,0,0
modified_Script134.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,876,1.5,0,0,0
modified_Script135.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,876,2.5,0,0,0
modified_Script136.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,876,0.5,0,0,0
modified_Script137.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,876,1.5,0,0,0
modified_Script138.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,876,2.5,0,0,0
modified_Script139.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,876,0.5,0,0,0
modified_Script14.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,896,1.5,0,0,0
modified_Script140.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,876,1.5,0,0,0
modified_Script141.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,876,2.5,0,0,0
modified_Script142.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,876,0.5,0,0,0
modified_Script143.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,876,1.5,0,0,0
modified_Script144.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,876,2.5,0,0,0
modified_Script145.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,876,0.5,0,0,0
modified_Script146.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,876,1.5,0,0,0
modified_Script147.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,876,2.5,0,0,0
modified_Script148.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,876,0.5,0,0,0
modified_Script149.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,876,1.5,0,0,0
modified_Script15.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,896,2.5,0,0,0
modified_Script150.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,876,2.5,0,0,0
modified_Script151.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,876,0.5,0,0,0
modified_Script152.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,876,1.5,0,0,0
modified_Script153.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,876,2.5,0,0,0
modified_Script154.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,876,0.5,0,0,0
modified_Script155.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,876,1.5,0,0,0
modified_Script156.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,876,2.5,0,0,0
modified_Script157.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,876,0.5,0,0,0
modified_Script158.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,876,1.5,0,0,0
modified_Script159.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,876,2.5,0,0,0
